ticket_text,intent,urgency
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
